name,region,address,latitude,longitude,phone,operatingHours,isActive,weekdayOpen,weekdayClose,saturdayOpen,saturdayClose,sundayOpen,sundayClose,holidayClosed
내일꿈제작소,고양시,경기도 고양시 덕양구 은빛로 72 (화정동),37.637186,126.836190,031-8075-2873,"월~토 10:00~18:00, 일·공휴일 휴관",true,10:00,18:00,10:00,18:00,,,true
28청춘창업소,고양시,경기도 고양시 덕양구 화중로104번길 33,37.637415,126.833587,031-968-7062,"확인 불가 (입주기업 전용, 직접 문의)",true,,,,,,,
과천시 청년공간 비행지구,과천시,경기도 과천시 중앙로 129 5층 501호,37.428305,126.991003,02-3418-1245,"월·화·목·금 10:00~21:00, 수 10:00~18:00, 토 10:00~16:00, 일·공휴일 휴관",true,10:00,21:00,10:00,16:00,,,true
청춘곳간,광명시,"경기도 광명시 광명로928번길 42-16 (어울리기행복센터 3~5층, 광명동)",37.479903,126.859600,02-2689-7451,"화~토 09:00~22:00, 일 09:00~18:00, 월·공휴일 휴관",true,09:00,22:00,09:00,22:00,09:00,18:00,true
광명시 청년동,광명시,"경기도 광명시 오리로854번길 10 (열린시민청 4층, 철산동)",37.474369,126.868467,02-2066-8134,"화~토 09:00~22:00, 일 09:00~18:00, 월·공휴일 휴관",true,09:00,22:00,09:00,22:00,09:00,18:00,true
광주시 청년지원센터,광주시,경기도 광주시 중앙로 199 5층 (더누림플랫폼),37.417446,127.256025,031-8027-0371,"평일 09:00~21:00, 토 10:00~17:00, 일·공휴일 휴관",true,09:00,21:00,10:00,17:00,,,true
청년내일센터,구리시,경기도 구리시 건원대로 67 한진빌딩 3~5층 (인창동 383-101),37.606941,127.138888,031-557-9980,"평일 09:30~21:00, 토 09:30~18:00, 일·공휴일 휴무",true,09:30,21:00,09:30,18:00,,,true
군포시 청년공간 플라잉,군포시,경기도 군포시 번영로 314 (산본동),37.342892,126.926315,031-399-8724,"월~토 09:30~21:00 (동절기 12~2월 09:30~20:30), 일·공휴일 휴관",true,09:30,21:00,09:30,21:00,,,true
김포시청년지원센터,김포시,경기도 김포시 김포대로 841 제우스프라자 5층 (사우동),37.619537,126.720029,031-980-5971,"월~금 09:00~21:00, 토 10:00~20:00, 일·공휴일 휴관",true,09:00,21:00,10:00,20:00,,,true
남양주시 청년창업센터 / 청년꽃간,남양주시,"경기도 남양주시 늘을2로14번길 12 (평내동, 청년창업센터 3층)",37.653637,127.245217,031-590-8545,"화~일 09:00~21:00, 월요일 휴관",true,09:00,21:00,09:00,21:00,09:00,21:00,true
동두천시 청년창업지원센터,동두천시,경기도 동두천시 동두천로 314 복합문화커뮤니티센터 1층,37.909742,127.056685,031-868-9131,"평일 09:00~21:00, 토 09:00~18:00, 일·공휴일 휴관",true,09:00,21:00,09:00,18:00,,,true
소사청년공간 소사로움,부천시,경기도 부천시 소사구 성무로 24 심곡도서관 4층,37.480348,126.783947,032-625-4581,"화~일 07:00~22:00, 월·공휴일 휴관 (디지털인쇄소·미디어창작실은 화~금 09:00~18:00)",true,07:00,22:00,07:00,22:00,07:00,22:00,true
원미청(년)정(점)구역,부천시,경기도 부천시 원미구 소사로 456 원미도서관 3층,37.497985,126.799040,032-625-4747,"화~일 07:00~22:00, 월·공휴일 휴관",true,07:00,22:00,07:00,22:00,07:00,22:00,true
오정청년공간,부천시,경기도 부천시 오정구 소사로 772 원종빌딩 5층,37.524856,126.805342,032-625-8870,"월 09:00~22:00, 화~금 09:00~21:00, 토 09:00~18:00, 일·공휴일 휴관",true,09:00,22:00,09:00,18:00,,,true
청년이봄,성남시,경기도 성남시 수정구 산성대로 267 롯데시네마타워 지하1층 B1049호,37.441324,127.146447,070-4908-2094,"월~금 10:00~21:00, 토 10:00~15:00, 일·공휴일 휴관",true,10:00,21:00,10:00,15:00,,,true
청년이봄 야탑,성남시,경기도 성남시 분당구 벌말로30번길 35 야탑유스센터 1층,37.410156,127.141949,031-729-9838,"화~금 10:00~18:00, 토 10:00~15:00, 월·일·공휴일 휴관",true,10:00,18:00,10:00,15:00,,,true
청년이봄 정자,성남시,경기도 성남시 분당구 성남대로407번길 12 정자유스센터 1층,37.372762,127.106324,070-4908-2094,"평일 10:00~20:00, 토 09:00~17:00, 일·공휴일 휴관",true,10:00,20:00,09:00,17:00,,,true
청누리,수원시,경기도 수원시 팔달구 행궁로 68-1,37.276623,127.015529,031-267-3628,"화~토 10:00~18:00, 월·공휴일 휴관",true,10:00,18:00,10:00,18:00,,,true
청년바람지대,수원시,경기도 수원시 팔달구 효원로249번길 38 (2~3층),37.264258,127.030078,031-267-3628,"월~금 10:00~21:00, 토 10:00~18:00, 공휴일 휴관",true,10:00,21:00,10:00,18:00,,,true
청년협업마을,시흥시,"경기도 시흥시 소래산길 11 (시흥ABC행복학습타운 내, 대야동)",37.448508,126.784694,031-310-3532,"월~금 10:00~22:00, 토·일 09:00~18:00 (일요일 무인 운영), 공휴일 휴관",true,10:00,22:00,09:00,18:00,09:00,18:00,true
청년스테이션,시흥시,경기도 시흥시 정왕대로233번길 19-1 (정왕동 1799-4),37.346681,126.738668,070-7710-3816,"월~금 10:00~22:00, 토 10:00~18:00, 일·공휴일 휴관",true,10:00,22:00,10:00,18:00,,,true
안산시 청년센터 상상대로,안산시,경기도 안산시 단원구 선부로 312 (와동 96-1),37.342924,126.829188,031-492-2030,"월~금 09:00~21:00, 토 09:00~16:00, 일·공휴일 휴관",true,09:00,21:00,09:00,16:00,,,true
안산시 청년센터 상상스테이션,안산시,경기도 안산시 단원구 적금로 93,37.316515,126.824919,031-410-0311,"평일 09:00~21:00 (점심 12:00~13:00 휴게), 토 09:00~16:00, 일·공휴일 휴무",true,09:00,21:00,09:00,16:00,,,true
안성시청년문화공간 '청년톡톡',안성시,경기도 안성시 인지2길 16-8,37.004756,127.266438,031-678-6848,"평일 10:00~21:00, 토 10:00~18:00, 일·공휴일 휴관",true,10:00,21:00,10:00,18:00,,,true
범계역 청년출구,안양시,경기도 안양시 동안구 동안로 130 지하1층 (범계역 광장 내),37.389734,126.950984,031-476-9371,"평일 10:00~22:00, 토 10:00~17:00, 일·공휴일 휴무",true,10:00,22:00,10:00,17:00,,,true
동안 청년오피스,안양시,경기도 안양시 동안구 시민대로327번길 11-41 안양창업지원센터 3층,37.398203,126.963141,031-8045-6754,"평일·토 09:30~21:00, 일·공휴일 휴관",true,09:30,21:00,09:30,21:00,,,true
만안 청년오피스,안양시,경기도 안양시 만안구 안양로 311 프로젝트500타워 16층,37.399618,126.920196,031-8045-6706,"평일·토 09:30~21:00, 일·공휴일 휴관",true,09:30,21:00,09:30,21:00,,,true
안양청년1번가,안양시,경기도 안양시 만안구 장내로143번길 16 지하1층,37.398702,126.923188,031-441-5279,"월~금 10:00~21:00, 토 10:00~16:00, 일·공휴일 휴관",true,10:00,21:00,10:00,16:00,,,true
양주시청년센터,양주시,경기도 양주시 덕정길 67 회천1동 복합청사 5층,37.844023,127.066072,031-8082-6077,"평일 09:00~21:00 (주말 미확인, 직접 문의 필요)",true,,,,,,,
양평청년공간 딴딴회관,양평군,경기도 양평군 양서면 두물머리길20번길 8,37.542926,127.318708,031-770-3121,"월 10:00~18:00, 화~금 10:00~21:00, 토 10:00~17:00, 일·공휴일 휴무",true,10:00,21:00,10:00,17:00,,,true
내일스퀘어 양평,양평군,경기도 양평군 양평읍 양근로 196 G타워 2층,37.489213,127.490911,031-770-3921,"평일 10:00~21:00, 토 10:00~17:00, 일·공휴일 휴무",true,10:00,21:00,10:00,17:00,,,true
양평청년공간 오름,양평군,경기도 양평군 용문면 용문로 391 2층,37.486920,127.595923,031-770-1018,"평일 10:00~21:00, 토 10:00~17:00, 일·공휴일 휴무",true,10:00,21:00,10:00,17:00,,,true
여주시청년활동지원센터 푸릇,여주시,경기도 여주시 세종로14번길 18 중앙프라자 3층 303호,37.297396,127.634908,031-884-2055,"화~금 10:00~21:00, 토~일 10:00~18:00, 월·공휴일 휴관",true,10:00,21:00,10:00,18:00,10:00,18:00,true
연천군일자리통합지원센터,연천군,경기도 연천군 전곡읍 전곡로 193,38.029021,127.066085,031-839-2980,"3~12월 평일 09:00~21:00 / 1~2월 평일 09:00~18:00, 점심 12:00~13:00 휴게, 주말·공휴일 휴무",true,09:00,21:00,,,,,true
오산청년일자리지원센터 이루잡,오산시,경기도 오산시 운천로 62 3층,37.148010,127.074737,031-8036-8046,"평일 09:00~22:00, 토·일 10:00~18:00, 공휴일 휴관",true,09:00,22:00,10:00,18:00,10:00,18:00,true
용인청년LAB 기흥,용인시,경기도 용인시 기흥구 구갈로60번길 15 경영빌딩 2층,37.279844,127.112994,031-693-8332,"평일 10:00~22:00, 토 10:00~18:00, 일·공휴일 휴무",true,10:00,22:00,10:00,18:00,,,true
용인청년LAB 수지,용인시,경기도 용인시 수지구 포은대로 499 아르피아타워 2~3층,37.325649,127.104704,031-6193-4852,"평일 10:00~22:00, 토 10:00~18:00, 일·공휴일 휴관",true,10:00,22:00,10:00,18:00,,,true
용인청년LAB 처인,용인시,경기도 용인시 처인구 명지로40번길 8 삼가프라자 5층,37.232742,127.187756,031-337-4012,"평일 10:00~22:00, 토 10:00~18:00, 일·공휴일 휴관",true,10:00,22:00,10:00,18:00,,,true
의왕청년발전소,의왕시,경기도 의왕시 안양판교로 82 포일어울림센터 4층,37.396108,126.983053,031-345-2720,"평일 09:00~21:00, 토 09:00~18:00, 공휴일 휴관",true,09:00,21:00,09:00,18:00,,,true
의정부시 청년공감터,의정부시,경기도 의정부시 둔야로 9 3~4층,37.736626,127.039622,031-828-2434,"평일·토·일 10:00~18:00, 평일 10:00~21:00, 공휴일 휴관",true,10:00,21:00,10:00,18:00,10:00,18:00,true
의정부시 청년다락방,의정부시,경기도 의정부시 호국로 1314,37.743485,127.050134,031-828-2163,"월~토 14:00~22:00 (2026.4월 야간 확대), 일·공휴일 휴관 ※직접 확인 권장",true,,,,,,,
청년일자리카페 '청년e-room',이천시,경기도 이천시 경충대로 2701-32,37.278607,127.432968,031-644-4206,"평일 10:00~21:00, 토 10:00~18:00, 일·공휴일 휴관",true,10:00,21:00,10:00,18:00,,,true
파주시청년공간 GP1939,파주시,경기도 파주시 금릉역로 84 청원센트럴타워 6층,37.752155,126.765957,031-940-5100,"평일 10:00~21:00, 토 09:30~17:30, 일·공휴일 휴무",true,10:00,21:00,09:30,17:30,,,true
청년쉼표,평택시,경기도 평택시 평택1로 9번길 23,36.993430,127.085829,031-691-9917,"평일 10:00~21:00, 토 10:00~17:00, 일·공휴일 휴관",true,10:00,21:00,10:00,17:00,,,true
포천시 청년센터,포천시,경기도 포천시 호국로 1423 포천청년비전센터 2층,37.885833,127.191800,031-538-2563,"화~금 10:00~21:00, 토 10:00~18:00, 월·일·공휴일 휴관",true,10:00,21:00,10:00,18:00,,,true
하남시청년지원센터,하남시,경기도 하남시 미사강변대로 52 1층,37.554661,127.186530,031-790-6904,"평일 09:00~18:00, 주말·공휴일 휴무",true,09:00,18:00,,,,,true
화성시 청년취업끝까지 지원센터,화성시,경기도 화성시 병점구 떡전골로 98 병점우체국 4층 401호,37.207268,127.034057,031-5189-4805,"평일 09:00~18:00, 주말·공휴일 휴무",true,09:00,18:00,,,,,true
화성시청년지원센터 H.E.Y,화성시,경기도 화성시 떡전골로 98 병점우체국 5층,37.207268,127.034057,031-5189-3106,"월·금 09:00~18:00, 화·수·목 09:00~21:00, 토 10:00~18:00, 일·공휴일 휴관",true,09:00,21:00,10:00,18:00,,,true
