name,description,imageUrl
내일꿈제작소,청년 문화·창작 커뮤니티 공간,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&h=200&fit=crop&auto=format
28청춘창업소,청년 창업과 네트워킹을 지원하는 복합공간,https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=400&h=200&fit=crop&auto=format
과천시 청년공간 비행지구,과천시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=400&h=200&fit=crop&auto=format
청춘곳간,광명시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=400&h=200&fit=crop&auto=format
광명시 청년동,지역사회 연계 청년 커뮤니티 허브,https://images.unsplash.com/photo-1517048676732-d65bc937f952?w=400&h=200&fit=crop&auto=format
광주시 청년지원센터,광주시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=400&h=200&fit=crop&auto=format
청년내일센터,구리시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&h=200&fit=crop&auto=format
군포시 청년공간 플라잉,군포시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=400&h=200&fit=crop&auto=format
김포시청년지원센터,김포시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=400&h=200&fit=crop&auto=format
남양주시 청년창업센터 / 청년꽃간,청년 창업과 네트워킹을 지원하는 복합공간,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=400&h=200&fit=crop&auto=format
동두천시 청년창업지원센터,청년 창업과 네트워킹을 지원하는 복합공간,https://images.unsplash.com/photo-1517048676732-d65bc937f952?w=400&h=200&fit=crop&auto=format
소사청년공간 소사로움,취업·역량강화 특화 청년지원센터,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=400&h=200&fit=crop&auto=format
원미청(년)정(점)구역,부천시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&h=200&fit=crop&auto=format
오정청년공간,부천시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=400&h=200&fit=crop&auto=format
청년이봄,취업·역량강화 특화 청년지원센터,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=400&h=200&fit=crop&auto=format
청년이봄 야탑,성남시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=400&h=200&fit=crop&auto=format
청년이봄 정자,성남시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1517048676732-d65bc937f952?w=400&h=200&fit=crop&auto=format
청누리,수원시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1522071820081-009f0129c71c?w=400&h=200&fit=crop&auto=format
청년바람지대,청년 창업과 네트워킹을 위한 복합문화공간,https://images.unsplash.com/photo-1497366216548-37526070297c?w=400&h=200&fit=crop&auto=format
청년협업마을,시흥시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1497366811353-6870744d04b2?w=400&h=200&fit=crop&auto=format
청년스테이션,시흥시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=400&h=200&fit=crop&auto=format
안산시 청년센터 상상대로,안산시 청년의 자립과 성장을 지원하는 공간,https://images.unsplash.com/photo-1556761175-5973dc0f32e7?w=400&h=200&fit=crop&auto=format
